Time(s),Voltage(V),Current(A),Power(W)
0.035,3.9000,0.0037,0.0144
0.088,3.9000,0.0037,0.0145
0.502,3.9000,0.0038,0.0148
0.573,3.9000,0.0037,0.0146
0.711,3.9000,0.0037,0.0146
0.920,3.9000,0.0037,0.0145
1.110,3.9000,0.0038,0.0147
1.125,3.9000,0.0038,0.0147
1.554,3.9000,0.0038,0.0149
1.648,3.9000,0.0038,0.0148
1.761,3.9000,0.0038,0.0148
1.969,3.9000,0.0038,0.0150
2.184,3.9000,0.0039,0.0153
2.196,3.9000,0.0039,0.0153
2.577,3.9000,0.0039,0.0150
2.722,3.9000,0.0038,0.0147
2.780,3.9000,0.0037,0.0146
2.984,3.9000,0.0037,0.0145
3.188,3.9000,0.0037,0.0144
3.260,3.9000,0.0037,0.0144
3.595,3.9000,0.0036,0.0142
3.797,3.9000,0.0035,0.0138
3.808,3.9000,0.0035,0.0137
4.002,3.9000,0.0035,0.0135
4.207,3.9000,0.0034,0.0134
4.335,3.9000,0.0034,0.0134
4.610,3.9000,0.0035,0.0137
4.810,3.9000,0.0035,0.0137
4.872,3.9000,0.0035,0.0137
5.011,3.9000,0.0035,0.0137
5.212,3.9000,0.0035,0.0138
5.410,3.9000,0.0035,0.0137
5.614,3.9000,0.0036,0.0140
5.816,3.9000,0.0035,0.0138
5.947,3.9000,0.0035,0.0138
6.022,3.9000,0.0036,0.0140
6.233,3.9000,0.0036,0.0142
6.484,3.9000,0.0037,0.0144
6.655,3.9000,0.0037,0.0143
6.856,3.9000,0.0036,0.0140
7.021,3.9000,0.0036,0.0139
7.057,3.9000,0.0035,0.0138
7.259,3.9000,0.0036,0.0139
7.559,3.9000,0.0036,0.0139
7.679,3.9000,0.0036,0.0139
7.889,3.9000,0.0036,0.0140
8.097,3.9000,0.0036,0.0142
8.107,3.9000,0.0036,0.0141
8.293,3.9000,0.0036,0.0141
8.635,3.9000,0.0036,0.0142
8.712,3.9000,0.0037,0.0143
8.914,3.9000,0.0037,0.0143
9.114,3.9000,0.0037,0.0144
9.171,3.9000,0.0037,0.0143
9.317,3.9000,0.0036,0.0142
9.707,3.9000,0.0036,0.0142
9.736,3.9000,0.0036,0.0142
9.936,3.9000,0.0037,0.0144
10.138,3.9000,0.0037,0.0145
10.244,3.9000,0.0037,0.0145
10.337,3.9000,0.0037,0.0143
10.781,3.9000,0.0036,0.0142
10.792,3.9000,0.0036,0.0142
10.977,3.9000,0.0036,0.0140
11.177,3.9000,0.0036,0.0140
11.319,3.9000,0.0036,0.0141
11.377,3.9000,0.0036,0.0141
11.782,3.9000,0.0037,0.0146
11.857,3.9000,0.0037,0.0144
11.987,3.9000,0.0037,0.0143
12.195,3.9000,0.0036,0.0140
12.394,3.9000,0.0036,0.0140
12.405,3.9000,0.0036,0.0140
12.820,3.9000,0.0038,0.0147
12.931,3.9000,0.0038,0.0147
13.037,3.9000,0.0038,0.0147
13.240,3.9000,0.0038,0.0148
13.469,3.9000,0.0038,0.0148
13.479,3.9000,0.0038,0.0148
13.839,3.9000,0.0038,0.0149
14.007,3.9000,0.0038,0.0148
14.038,3.9000,0.0038,0.0148
14.240,3.9000,0.0038,0.0148
14.441,3.9000,0.0037,0.0145
14.544,3.9000,0.0038,0.0147
14.857,3.9000,0.0037,0.0146
15.081,3.9000,0.0037,0.0146
15.092,3.9000,0.0037,0.0146
15.267,3.9000,0.0036,0.0142
15.478,3.9000,0.0036,0.0141
15.619,3.9000,0.0036,0.0141
15.891,3.9000,0.0037,0.0143
16.103,3.9000,0.0037,0.0143
16.156,3.9000,0.0036,0.0140
16.311,3.9000,0.0036,0.0139
16.515,3.9000,0.0036,0.0139
16.694,3.9000,0.0036,0.0139
16.928,3.9000,0.0037,0.0142
17.131,3.9000,0.0037,0.0145
17.231,3.9000,0.0037,0.0146
17.335,3.9000,0.0038,0.0147
17.536,3.9000,0.0037,0.0144
17.769,3.9000,0.0036,0.0141
17.955,3.9000,0.0035,0.0138
18.158,3.9000,0.0036,0.0139
18.306,3.9000,0.0036,0.0140
18.376,3.9000,0.0036,0.0139
18.578,3.9000,0.0036,0.0140
18.843,3.9000,0.0036,0.0139
19.016,3.9000,0.0036,0.0141
19.216,3.9000,0.0037,0.0144
19.380,3.9000,0.0037,0.0144
19.435,3.9000,0.0037,0.0143
19.637,3.9000,0.0037,0.0145
19.918,3.9000,0.0037,0.0145
20.038,3.9000,0.0037,0.0145
20.238,3.9000,0.0037,0.0145
20.456,3.9000,0.0037,0.0144
20.466,3.9000,0.0037,0.0144
20.645,3.9000,0.0036,0.0141
20.993,3.9000,0.0036,0.0141
21.064,3.9000,0.0036,0.0141
21.268,3.9000,0.0036,0.0140
21.470,3.9000,0.0036,0.0139
21.530,3.9000,0.0035,0.0136
21.672,3.9000,0.0035,0.0135
22.068,3.9000,0.0036,0.0140
22.093,3.9000,0.0036,0.0140
22.300,3.9000,0.0036,0.0142
22.505,3.9000,0.0037,0.0143
22.606,3.9000,0.0036,0.0142
22.711,3.9000,0.0036,0.0141
23.142,3.9000,0.0036,0.0139
23.154,3.9000,0.0036,0.0139
23.328,3.9000,0.0036,0.0140
23.533,3.9000,0.0036,0.0140
23.681,3.9000,0.0036,0.0139
23.732,3.9000,0.0036,0.0140
24.133,3.9000,0.0036,0.0140
24.218,3.9000,0.0036,0.0140
24.333,3.9000,0.0036,0.0141
24.536,3.9000,0.0037,0.0143
24.755,3.9000,0.0037,0.0144
24.765,3.9000,0.0037,0.0144
25.150,3.9000,0.0037,0.0145
25.292,3.9000,0.0038,0.0146
25.361,3.9000,0.0038,0.0146
25.569,3.9000,0.0038,0.0148
25.772,3.9000,0.0038,0.0148
25.830,3.9000,0.0038,0.0148
26.189,3.9000,0.0037,0.0144
26.368,3.9000,0.0037,0.0145
26.398,3.9000,0.0037,0.0145
26.606,3.9000,0.0037,0.0146
26.810,3.9000,0.0037,0.0146
26.904,3.9000,0.0037,0.0145
27.214,3.9000,0.0037,0.0144
27.442,3.9000,0.0037,0.0144
27.453,3.9000,0.0037,0.0143
27.626,3.9000,0.0037,0.0144
27.828,3.9000,0.0037,0.0143
27.979,3.9000,0.0036,0.0141
28.231,3.9000,0.0036,0.0140
28.432,3.9000,0.0036,0.0139
28.517,3.9000,0.0035,0.0137
28.635,3.9000,0.0035,0.0138
28.838,3.9000,0.0036,0.0139
29.054,3.9000,0.0035,0.0137
29.258,3.9000,0.0035,0.0137
29.461,3.9000,0.0035,0.0138
29.592,3.9000,0.0035,0.0138
29.662,3.9000,0.0035,0.0138
29.881,3.9000,0.0035,0.0138
30.129,3.9000,0.0036,0.0141
30.286,3.9000,0.0035,0.0137
30.487,3.9000,0.0035,0.0137
30.666,3.9000,0.0035,0.0137
30.706,3.9000,0.0036,0.0139
30.908,3.9000,0.0036,0.0139
31.203,3.9000,0.0036,0.0142
31.345,3.9000,0.0036,0.0142
31.565,3.9000,0.0036,0.0140
31.742,3.9000,0.0036,0.0141
31.785,3.9000,0.0036,0.0140
31.986,3.9000,0.0036,0.0140
32.279,3.9000,0.0036,0.0140
32.387,3.9000,0.0036,0.0139
32.587,3.9000,0.0036,0.0139
32.817,3.9000,0.0037,0.0143
32.827,3.9000,0.0036,0.0142
33.008,3.9000,0.0037,0.0143
33.354,3.9000,0.0037,0.0144
33.426,3.9000,0.0037,0.0145
33.627,3.9000,0.0037,0.0144
33.846,3.9000,0.0037,0.0144
33.891,3.9000,0.0037,0.0144
34.047,3.9000,0.0037,0.0143
34.429,3.9000,0.0037,0.0144
34.467,3.9000,0.0037,0.0143
34.676,3.9000,0.0037,0.0144
34.881,3.9000,0.0036,0.0142
34.967,3.9000,0.0036,0.0142
35.091,3.9000,0.0037,0.0143
35.504,3.9000,0.0037,0.0145
35.515,3.9000,0.0037,0.0145
35.695,3.9000,0.0038,0.0146
35.895,3.9000,0.0037,0.0146
36.041,3.9000,0.0038,0.0148
36.116,3.9000,0.0038,0.0148
36.578,3.9000,0.0036,0.0142
36.589,3.9000,0.0037,0.0143
36.772,3.9000,0.0037,0.0142
36.992,3.9000,0.0037,0.0143
37.115,3.9000,0.0037,0.0144
37.211,3.9000,0.0036,0.0142
37.651,3.9000,0.0037,0.0144
37.662,3.9000,0.0037,0.0144
37.848,3.9000,0.0037,0.0146
38.049,3.9000,0.0038,0.0149
38.189,3.9000,0.0038,0.0148
38.248,3.9000,0.0038,0.0148
38.667,3.9000,0.0037,0.0146
38.726,3.9000,0.0037,0.0146
38.886,3.9000,0.0038,0.0146
39.085,3.9000,0.0038,0.0147
39.263,3.9000,0.0038,0.0148
39.305,3.9000,0.0038,0.0148
39.723,3.9000,0.0038,0.0149
39.801,3.9000,0.0038,0.0149
39.923,3.9000,0.0038,0.0149
40.124,3.9000,0.0037,0.0145
40.336,3.9000,0.0037,0.0145
40.348,3.9000,0.0037,0.0144
40.762,3.9000,0.0036,0.0142
40.874,3.9000,0.0036,0.0142
40.980,3.9000,0.0036,0.0141
41.180,3.9000,0.0037,0.0144
41.411,3.9000,0.0038,0.0149
41.422,3.9000,0.0038,0.0148
41.818,3.9000,0.0038,0.0148
41.950,3.9000,0.0037,0.0144
42.018,3.9000,0.0037,0.0143
42.238,3.9000,0.0036,0.0139
42.486,3.9000,0.0035,0.0135
42.497,3.9000,0.0035,0.0135
42.874,3.9000,0.0036,0.0142
43.023,3.9000,0.0036,0.0142
43.077,3.9000,0.0037,0.0143
43.294,3.9000,0.0038,0.0148
43.513,3.9000,0.0038,0.0148
43.561,3.9000,0.0038,0.0146
43.933,3.9000,0.0037,0.0144
44.099,3.9000,0.0036,0.0141
44.143,3.9000,0.0036,0.0141
44.354,3.9000,0.0036,0.0142
44.556,3.9000,0.0036,0.0141
44.636,3.9000,0.0036,0.0140
44.966,3.9000,0.0036,0.0139
45.174,3.9000,0.0036,0.0140
45.184,3.9000,0.0036,0.0140
45.375,3.9000,0.0036,0.0140
45.579,3.9000,0.0036,0.0140
45.710,3.9000,0.0036,0.0139
45.984,3.9000,0.0036,0.0139
46.193,3.9000,0.0036,0.0140
46.249,3.9000,0.0035,0.0138
46.401,3.9000,0.0036,0.0139
46.609,3.9000,0.0036,0.0141
46.786,3.9000,0.0037,0.0142
47.014,3.9000,0.0037,0.0144
47.221,3.9000,0.0038,0.0147
47.323,3.9000,0.0037,0.0145
47.427,3.9000,0.0037,0.0145
47.630,3.9000,0.0037,0.0144
47.861,3.9000,0.0036,0.0142
48.031,3.9000,0.0037,0.0144
48.231,3.9000,0.0038,0.0146
48.398,3.9000,0.0037,0.0146
48.431,3.9000,0.0037,0.0145
48.636,3.9000,0.0038,0.0147
48.935,3.9000,0.0037,0.0145
49.051,3.9000,0.0037,0.0143
49.256,3.9000,0.0036,0.0142
49.474,3.9000,0.0036,0.0141
49.483,3.9000,0.0036,0.0141
49.669,3.9000,0.0036,0.0142
50.010,3.9000,0.0037,0.0143
50.083,3.9000,0.0037,0.0144
50.295,3.9000,0.0036,0.0142
50.498,3.9000,0.0036,0.0141
50.548,3.9000,0.0036,0.0141
50.701,3.9000,0.0037,0.0143
51.084,3.9000,0.0036,0.0141
51.105,3.9000,0.0036,0.0142
51.306,3.9000,0.0037,0.0143
51.509,3.9000,0.0037,0.0144
51.621,3.9000,0.0037,0.0145
51.710,3.9000,0.0037,0.0146
52.117,3.9000,0.0037,0.0143
52.159,3.9000,0.0036,0.0141
52.319,3.9000,0.0036,0.0140
52.519,3.9000,0.0036,0.0139
52.697,3.9000,0.0036,0.0138
52.723,3.9000,0.0035,0.0138
53.126,3.9000,0.0037,0.0143
53.234,3.9000,0.0037,0.0144
53.329,3.9000,0.0037,0.0146
53.530,3.9000,0.0038,0.0149
53.772,3.9000,0.0039,0.0151
53.781,3.9000,0.0039,0.0151
54.134,3.9000,0.0038,0.0149
54.308,3.9000,0.0038,0.0147
54.335,3.9000,0.0038,0.0146
54.540,3.9000,0.0037,0.0145
54.742,3.9000,0.0037,0.0144
54.845,3.9000,0.0037,0.0143
55.145,3.9000,0.0036,0.0142
55.383,3.9000,0.0036,0.0141
55.394,3.9000,0.0036,0.0141
55.544,3.9000,0.0037,0.0143
55.746,3.9000,0.0037,0.0142
55.921,3.9000,0.0036,0.0141
56.149,3.9000,0.0036,0.0139
56.348,3.9000,0.0035,0.0137
56.458,3.9000,0.0035,0.0138
56.548,3.9000,0.0035,0.0137
56.748,3.9000,0.0035,0.0138
56.996,3.9000,0.0036,0.0141
57.147,3.9000,0.0036,0.0142
57.366,3.9000,0.0036,0.0141
57.534,3.9000,0.0037,0.0144
57.567,3.9000,0.0037,0.0145
57.768,3.9000,0.0037,0.0145
58.070,3.9000,0.0037,0.0145
58.169,3.9000,0.0037,0.0143
58.387,3.9000,0.0035,0.0137
58.608,3.9000,0.0035,0.0137
58.619,3.9000,0.0035,0.0137
58.807,3.9000,0.0036,0.0139
59.145,3.9000,0.0037,0.0145
59.210,3.9000,0.0037,0.0145
59.409,3.9000,0.0037,0.0145
59.611,3.9000,0.0037,0.0145
59.683,3.9000,0.0037,0.0146
59.811,3.9000,0.0037,0.0145
60.220,3.9000,0.0038,0.0150
60.231,3.9000,0.0038,0.0150
60.431,3.9000,0.0039,0.0153
60.634,3.9000,0.0039,0.0153
60.758,3.9000,0.0039,0.0150
60.853,3.9000,0.0038,0.0148
61.296,3.9000,0.0036,0.0141
61.307,3.9000,0.0036,0.0141
61.458,3.9000,0.0036,0.0142
61.658,3.9000,0.0037,0.0143
61.833,3.9000,0.0037,0.0143
61.878,3.9000,0.0037,0.0143
62.298,3.9000,0.0037,0.0144
62.370,3.9000,0.0037,0.0142
62.497,3.9000,0.0036,0.0141
62.697,3.9000,0.0036,0.0142
62.908,3.9000,0.0036,0.0140
62.919,3.9000,0.0036,0.0140
63.317,3.9000,0.0037,0.0143
63.445,3.9000,0.0038,0.0147
63.535,3.9000,0.0038,0.0148
63.735,3.9000,0.0038,0.0149
63.982,3.9000,0.0039,0.0151
63.993,3.9000,0.0039,0.0151
64.376,3.9000,0.0038,0.0147
64.520,3.9000,0.0038,0.0146
64.577,3.9000,0.0038,0.0146
64.776,3.9000,0.0037,0.0145
64.978,3.9000,0.0037,0.0145
65.057,3.9000,0.0037,0.0144
65.379,3.9000,0.0037,0.0143
65.595,3.9000,0.0037,0.0143
65.605,3.9000,0.0037,0.0143
65.779,3.9000,0.0037,0.0145
65.981,3.9000,0.0038,0.0150
66.132,3.9000,0.0039,0.0153
66.388,3.9000,0.0040,0.0154
66.592,3.9000,0.0039,0.0152
66.669,3.9000,0.0039,0.0151
66.794,3.9000,0.0039,0.0151
66.996,3.9000,0.0038,0.0148
67.207,3.9000,0.0038,0.0149
67.403,3.9000,0.0038,0.0149
67.609,3.9000,0.0039,0.0150
67.744,3.9000,0.0039,0.0151
67.816,3.9000,0.0039,0.0150
68.019,3.9000,0.0039,0.0150
68.281,3.9000,0.0038,0.0150
68.427,3.9000,0.0038,0.0148
68.632,3.9000,0.0037,0.0145
68.820,3.9000,0.0037,0.0143
68.837,3.9000,0.0037,0.0143
69.041,3.9000,0.0036,0.0142
69.357,3.9000,0.0035,0.0137
69.450,3.9000,0.0035,0.0136
69.655,3.9000,0.0034,0.0134
69.894,3.9000,0.0035,0.0137
69.905,3.9000,0.0035,0.0137
70.076,3.9000,0.0036,0.0139
70.432,3.9000,0.0036,0.0139
70.496,3.9000,0.0036,0.0139
70.701,3.9000,0.0036,0.0139
70.909,3.9000,0.0036,0.0140
70.970,3.9000,0.0036,0.0141
71.118,3.9000,0.0037,0.0144
71.506,3.9000,0.0038,0.0148
71.533,3.9000,0.0038,0.0148
71.744,3.9000,0.0038,0.0150
71.954,3.9000,0.0038,0.0149
72.045,3.9000,0.0038,0.0148
72.165,3.9000,0.0038,0.0147
72.582,3.9000,0.0037,0.0146
72.591,3.9000,0.0038,0.0146
72.792,3.9000,0.0037,0.0146
72.999,3.9000,0.0038,0.0147
73.117,3.9000,0.0037,0.0145
73.205,3.9000,0.0037,0.0145
73.656,3.9000,0.0038,0.0146
73.666,3.9000,0.0038,0.0147
73.835,3.9000,0.0038,0.0148
74.044,3.9000,0.0037,0.0146
74.192,3.9000,0.0038,0.0150
74.250,3.9000,0.0038,0.0150
74.666,3.9000,0.0038,0.0147
74.731,3.9000,0.0038,0.0148
74.870,3.9000,0.0038,0.0149
75.072,3.9000,0.0038,0.0148
75.269,3.9000,0.0038,0.0147
75.278,3.9000,0.0037,0.0146
75.681,3.9000,0.0036,0.0140
75.806,3.9000,0.0035,0.0138
75.884,3.9000,0.0035,0.0138
76.089,3.9000,0.0036,0.0140
76.293,3.9000,0.0036,0.0142
76.342,3.9000,0.0037,0.0143
76.700,3.9000,0.0037,0.0144
76.881,3.9000,0.0037,0.0144
76.903,3.9000,0.0037,0.0145
77.108,3.9000,0.0037,0.0144
77.312,3.9000,0.0036,0.0142
77.418,3.9000,0.0036,0.0142
77.720,3.9000,0.0036,0.0139
77.955,3.9000,0.0035,0.0138
77.963,3.9000,0.0035,0.0138
78.124,3.9000,0.0036,0.0140
78.326,3.9000,0.0036,0.0141
78.491,3.9000,0.0037,0.0143
78.731,3.9000,0.0038,0.0147
78.933,3.9000,0.0037,0.0144
79.027,3.9000,0.0037,0.0146
79.136,3.9000,0.0037,0.0145
79.339,3.9000,0.0037,0.0144
79.565,3.9000,0.0037,0.0145
79.746,3.9000,0.0037,0.0143
79.947,3.9000,0.0037,0.0144
80.102,3.9000,0.0037,0.0143
80.151,3.9000,0.0037,0.0143
80.352,3.9000,0.0037,0.0144
80.641,3.9000,0.0037,0.0143
80.757,3.9000,0.0036,0.0142
80.960,3.9000,0.0036,0.0142
81.178,3.9000,0.0036,0.0140
81.189,3.9000,0.0036,0.0140
81.370,3.9000,0.0036,0.0138
81.716,3.9000,0.0036,0.0139
81.775,3.9000,0.0036,0.0139
81.978,3.9000,0.0036,0.0140
82.183,3.9000,0.0036,0.0141
82.251,3.9000,0.0036,0.0141
82.386,3.9000,0.0036,0.0140
82.788,3.9000,0.0036,0.0139
82.799,3.9000,0.0036,0.0139
82.999,3.9000,0.0036,0.0141
83.199,3.9000,0.0036,0.0141
83.325,3.9000,0.0036,0.0140
83.400,3.9000,0.0036,0.0140
83.800,3.9000,0.0036,0.0139
83.863,3.9000,0.0036,0.0139
84.021,3.9000,0.0035,0.0138
84.226,3.9000,0.0036,0.0139
84.400,3.9000,0.0035,0.0138
84.427,3.9000,0.0036,0.0139
84.832,3.9000,0.0036,0.0142
84.938,3.9000,0.0036,0.0140
85.032,3.9000,0.0036,0.0140
85.237,3.9000,0.0036,0.0139
85.476,3.9000,0.0035,0.0138
85.486,3.9000,0.0035,0.0137
85.857,3.9000,0.0035,0.0137
86.013,3.9000,0.0036,0.0139
86.060,3.9000,0.0036,0.0139
86.268,3.9000,0.0035,0.0137
86.471,3.9000,0.0035,0.0135
86.551,3.9000,0.0035,0.0136
86.876,3.9000,0.0035,0.0136
87.089,3.9000,0.0035,0.0137
87.098,3.9000,0.0035,0.0136
87.277,3.9000,0.0035,0.0138
87.477,3.9000,0.0035,0.0137
87.626,3.9000,0.0036,0.0140
87.879,3.9000,0.0036,0.0140
88.080,3.9000,0.0037,0.0143
88.163,3.9000,0.0037,0.0143
88.284,3.9000,0.0037,0.0143
88.488,3.9000,0.0037,0.0144
88.701,3.9000,0.0037,0.0143
88.906,3.9000,0.0036,0.0142
89.108,3.9000,0.0036,0.0140
89.238,3.9000,0.0036,0.0140
89.310,3.9000,0.0036,0.0139
89.513,3.9000,0.0036,0.0139
89.775,3.9000,0.0036,0.0141
89.916,3.9000,0.0036,0.0142
90.119,3.9000,0.0036,0.0142
90.312,3.9000,0.0036,0.0142
90.323,3.9000,0.0036,0.0142
90.523,3.9000,0.0037,0.0143
90.849,3.9000,0.0037,0.0144
90.932,3.9000,0.0037,0.0145
91.135,3.9000,0.0038,0.0146
91.338,3.9000,0.0038,0.0147
91.386,3.9000,0.0038,0.0147
91.542,3.9000,0.0038,0.0147
91.924,3.9000,0.0038,0.0147
91.948,3.9000,0.0038,0.0147
92.153,3.9000,0.0038,0.0149
92.356,3.9000,0.0038,0.0150
92.461,3.9000,0.0039,0.0151
92.559,3.9000,0.0039,0.0151
92.999,3.9000,0.0038,0.0149
93.010,3.9000,0.0039,0.0150
93.167,3.9000,0.0038,0.0149
93.369,3.9000,0.0038,0.0148
93.536,3.9000,0.0038,0.0147
93.573,3.9000,0.0038,0.0147
93.989,3.9000,0.0037,0.0146
94.074,3.9000,0.0037,0.0144
94.192,3.9000,0.0037,0.0145
94.396,3.9000,0.0036,0.0141
94.611,3.9000,0.0034,0.0134
94.622,3.9000,0.0034,0.0134
95.004,3.9000,0.0034,0.0135
95.150,3.9000,0.0035,0.0135
95.208,3.9000,0.0035,0.0136
95.412,3.9000,0.0036,0.0140
95.612,3.9000,0.0036,0.0140
95.686,3.9000,0.0036,0.0140
96.019,3.9000,0.0036,0.0140
96.225,3.9000,0.0036,0.0140
96.234,3.9000,0.0036,0.0140
96.425,3.9000,0.0036,0.0140
96.627,3.9000,0.0036,0.0139
96.761,3.9000,0.0035,0.0137
97.051,3.9000,0.0036,0.0139
97.253,3.9000,0.0036,0.0142
97.299,3.9000,0.0036,0.0140
97.453,3.9000,0.0037,0.0143
97.655,3.9000,0.0036,0.0140
97.837,3.9000,0.0036,0.0141
98.074,3.9000,0.0036,0.0139
98.277,3.9000,0.0036,0.0139
98.373,3.9000,0.0036,0.0139
98.479,3.9000,0.0035,0.0138
98.681,3.9000,0.0036,0.0140
98.909,3.9000,0.0037,0.0143
99.081,3.9000,0.0037,0.0144
99.284,3.9000,0.0036,0.0141
99.447,3.9000,0.0035,0.0137
99.485,3.9000,0.0035,0.0138
99.687,3.9000,0.0035,0.0137
99.985,3.9000,0.0036,0.0142
100.092,3.9000,0.0037,0.0143
100.295,3.9000,0.0037,0.0145
100.522,3.9000,0.0037,0.0145
100.533,3.9000,0.0037,0.0145
100.699,3.9000,0.0036,0.0142
101.060,3.9000,0.0035,0.0136
101.103,3.9000,0.0035,0.0135
101.304,3.9000,0.0035,0.0135
101.506,3.9000,0.0035,0.0135
101.596,3.9000,0.0035,0.0135
101.710,3.9000,0.0035,0.0137
102.134,3.9000,0.0035,0.0136
102.144,3.9000,0.0035,0.0135
102.323,3.9000,0.0034,0.0134
102.524,3.9000,0.0034,0.0133
102.671,3.9000,0.0034,0.0133
102.725,3.9000,0.0034,0.0132
102.925,3.9000,0.0034,0.0134
103.128,3.9000,0.0034,0.0135
103.209,3.9000,0.0035,0.0135
103.331,3.9000,0.0035,0.0135
103.531,3.9000,0.0035,0.0136
103.746,3.9000,0.0034,0.0133
103.757,3.9000,0.0034,0.0133
103.934,3.9000,0.0034,0.0134
104.137,3.9000,0.0035,0.0135
104.284,3.9000,0.0035,0.0136
104.338,3.9000,0.0035,0.0137
104.544,3.9000,0.0035,0.0138
104.748,3.9000,0.0035,0.0136
104.822,3.9000,0.0035,0.0136
105.152,3.9000,0.0035,0.0136
105.359,3.9000,0.0036,0.0139
105.369,3.9000,0.0035,0.0138
105.555,3.9000,0.0035,0.0136
105.755,3.9000,0.0035,0.0136
105.895,3.9000,0.0035,0.0136
106.162,3.9000,0.0035,0.0137
106.365,3.9000,0.0035,0.0136
106.434,3.9000,0.0035,0.0137
106.567,3.9000,0.0035,0.0137
106.767,3.9000,0.0035,0.0137
106.972,3.9000,0.0035,0.0137
107.171,3.9000,0.0036,0.0139
107.373,3.9000,0.0036,0.0139
107.509,3.9000,0.0035,0.0138
107.572,3.9000,0.0035,0.0138
107.772,3.9000,0.0035,0.0135
108.046,3.9000,0.0033,0.0130
108.179,3.9000,0.0034,0.0131
108.380,3.9000,0.0033,0.0130
108.583,3.9000,0.0033,0.0130
108.594,3.9000,0.0033,0.0129
108.784,3.9000,0.0033,0.0130
